EXTERNALLYLOADEDTABLES,L_Salesforce_Cases,Salesforce Cases,Load Table,CapacityChargeLots,Capacity Charge Lots,VARCHAR(64),,True,L_Salesforce_Cases,,,,,,,0,NULL,0,N
EXTERNALLYLOADEDTABLES,L_Salesforce_Cases,Salesforce Cases,Load Table,ConnectionPoint,Connection Point,VARCHAR(64),,True,L_Salesforce_Cases,,,,,,,0,NULL,0,N
EXTERNALLYLOADEDTABLES,L_Salesforce_Cases,Salesforce Cases,Load Table,ConnectionType,Connection Type,VARCHAR(64),,True,L_Salesforce_Cases,,,,,,,0,NULL,0,N
EXTERNALLYLOADEDTABLES,L_Salesforce_Cases,Salesforce Cases,Load Table,ConnectionVoltage,Connection Voltage,VARCHAR(64),,True,L_Salesforce_Cases,,,,,,,0,NULL,0,N
EXTERNALLYLOADEDTABLES,L_Salesforce_Cases,Salesforce Cases,Load Table,DateAdvised,Date Advised,VARCHAR(64),,True,L_Salesforce_Cases,,,,,,,0,NULL,0,N
EXTERNALLYLOADEDTABLES,L_Salesforce_Cases,Salesforce Cases,Load Table,DateFeedbackReceived,"Date Feedback Received ",VARCHAR(64),,True,L_Salesforce_Cases,,,,,,,0,NULL,0,N
EXTERNALLYLOADEDTABLES,L_Salesforce_Cases,Salesforce Cases,Load Table,DSUB,DSUB,VARCHAR(64),,True,L_Salesforce_Cases,,,,,,,0,NULL,0,N
EXTERNALLYLOADEDTABLES,L_Salesforce_Cases,Salesforce Cases,Load Table,FeedbackArea,Feedback Area,VARCHAR(256),,True,L_Salesforce_Cases,,,,,,,0,NULL,0,N
EXTERNALLYLOADEDTABLES,L_Salesforce_Cases,Salesforce Cases,Load Table,GenerationPhase,Generation Phase,VARCHAR(64),,True,L_Salesforce_Cases,,,,,,,0,NULL,0,N
EXTERNALLYLOADEDTABLES,L_Salesforce_Cases,Salesforce Cases,Load Table,GenerationPhaseColour,Generation Phase Colour,VARCHAR(64),,True,L_Salesforce_Cases,,,,,,,0,NULL,0,N
EXTERNALLYLOADEDTABLES,L_Salesforce_Cases,Salesforce Cases,Load Table,InverterManufacturer,Inverter Manufacturer,VARCHAR(64),,True,L_Salesforce_Cases,,,,,,,0,NULL,0,N
EXTERNALLYLOADEDTABLES,L_Salesforce_Cases,Salesforce Cases,Load Table,InverterModel,Inverter Model,VARCHAR(100),,True,L_Salesforce_Cases,,,,,,,0,NULL,0,N
